;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""sparse noise multistimulus""
oen_term:oen_0000000
""Helmholtz""";sparse noise multistimulus;oen_term:oen_0000000;';';oen_0000067;';';';'
"owl:Class
""disc electrode device""
oen_term:oen_0000000
""Helmholtz""";disc electrode device;oen_term:oen_0000000;';';oen_0000064;';';';'
"owl:Class
""rate""
oen_term:oen_0000000
""odML terminology""";rate;oen_term:oen_0000000;';';oen_0000065;';';';'
"owl:Class
""amplifier duty cycle""
oen_term:oen_0000000
""odML terminology""";amplifier duty cycle;oen_term:oen_0000000;';';oen_0000643;';';';'
"owl:Class
""preparation animal supplier""
oen_term:oen_0000000
""Helmholtz""";preparation animal supplier;oen_term:oen_0000000;';';oen_0000714;';';';'
"owl:Class
""recording block end""
oen_term:oen_0000000
""Helmholtz""";recording block end;oen_term:oen_0000000;';';oen_0000715;';';';'
"owl:Class
""server IP address""
oen_term:oen_0000000
""Helmholtz""";server IP address;oen_term:oen_0000000;';';oen_0000716;';';';'
"owl:Class
""halogen lamp""
oen_term:oen_0000000
""odML terminology""";halogen lamp;oen_term:oen_0000000;';';oen_0000717;';';';'
"owl:Class
""stimulus intensity offset""
oen_term:oen_0000000
""odML terminology""";stimulus intensity offset;oen_term:oen_0000000;';';oen_0000710;';';';'
"owl:Class
""hardware property""
oen_term:oen_0000000
""odML terminology""";hardware property;oen_term:oen_0000000;';';oen_0000711;';';';'
"owl:Class
""square wave stimulus""
oen_term:oen_0000000
""odML terminology""";square wave stimulus;oen_term:oen_0000000;';';oen_0000499;';';';'
"owl:Class
""location""
oen_term:oen_0000000
""odML terminology""";location;oen_term:oen_0000000;';';oen_0000498;';';';'
"owl:Class
""recording segment start""
oen_term:oen_0000000
""Helmholtz""";recording segment start;oen_term:oen_0000000;';';oen_0000497;';';';'
"owl:Class
""white noise stimulus""
oen_term:oen_0000000
""odML terminology""";white noise stimulus;oen_term:oen_0000000;';';oen_0000496;';';';'
